"ID","name","Binom_Genome_Fraction","Binom_Expected","Binom_Observed_Region_Hits","Binom_Fold_Enrichment","Binom_Region_Set_Coverage","Binom_Raw_PValue","Binom_Adjp_BH","Hyper_Total_Genes","Hyper_Expected","Hyper_Observed_Gene_Hits","Hyper_Fold_Enrichment","Hyper_Gene_Set_Coverage","Hyper_Term_Gene_Coverage","Hyper_Raw_PValue","Hyper_Adjp_BH"
"GO:0090151","establishment of protein localization to mitochondrial membrane",0.0008480674,0.02883429,2,69.36186,0.05882353,0.0003962531,1,12,0.0368753,2,54.23684,0.03508772,0.1666667,0.0006003478,1
"GO:0050711","negative regulation of interleukin-1 secretion",0.001310571,0.0445594,2,44.88391,0.05882353,0.0009370368,1,13,0.03994825,2,50.06478,0.03508772,0.1538462,0.0007081022,1
"GO:0071461","cellular response to redox state",2.908803e-05,0.0009889929,1,1011.13,0.02941176,0.0009885184,1,2,0.006145884,1,162.7105,0.01754386,0.5,0.006136606,1
"GO:1990079","cartilage homeostasis",6.492602e-05,0.002207485,1,453.0043,0.02941176,0.002205121,1,1,0.003072942,1,325.4211,0.01754386,1,0.003072942,1
"GO:0010848","regulation of chromatin disassembly",6.656755e-05,0.002263297,1,441.8334,0.02941176,0.002260812,1,2,0.006145884,1,162.7105,0.01754386,0.5,0.006136606,1
"GO:0019556","histidine catabolic process to glutamate and formamide",7.778359e-05,0.002644642,1,378.123,0.02941176,0.002641251,1,4,0.01229177,1,81.35526,0.01754386,0.25,0.01223621,1
"GO:0019557","histidine catabolic process to glutamate and formate",7.778359e-05,0.002644642,1,378.123,0.02941176,0.002641251,1,4,0.01229177,1,81.35526,0.01754386,0.25,0.01223621,1
"GO:0032692","negative regulation of interleukin-1 production",0.002322077,0.07895063,2,25.33229,0.05882353,0.002879059,1,25,0.07682355,2,26.03368,0.03508772,0.08,0.002659775,1
"GO:0071816","tail-anchored membrane protein insertion into ER membrane",8.881055e-05,0.003019559,1,331.1742,0.02941176,0.003015138,1,4,0.01229177,1,81.35526,0.01754386,0.25,0.01223621,1
"GO:0030263","apoptotic chromosome condensation",0.0001018446,0.003462717,1,288.7906,0.02941176,0.003456904,1,5,0.01536471,1,65.08421,0.01754386,0.2,0.01527221,1
"GO:1901605","alpha-amino acid metabolic process",0.01859687,0.6322936,4,6.326175,0.1176471,0.003553118,1,212,0.6514637,5,7.675025,0.0877193,0.02358491,0.0004806049,1
"GO:1902410","mitotic cytokinetic process",0.0001066364,0.003625638,1,275.8135,0.02941176,0.003619266,1,4,0.01229177,1,81.35526,0.01754386,0.25,0.01223621,1
"GO:0036413","histone H3-R26 citrullination",0.0001151845,0.003916272,1,255.3449,0.02941176,0.003908838,1,2,0.006145884,1,162.7105,0.01754386,0.5,0.006136606,1
"GO:1900142","negative regulation of oligodendrocyte apoptotic process",0.0001166831,0.003967224,1,252.0654,0.02941176,0.003959596,1,1,0.003072942,1,325.4211,0.01754386,1,0.003072942,1
"GO:2000533","negative regulation of renal albumin absorption",0.0001166831,0.003967224,1,252.0654,0.02941176,0.003959596,1,1,0.003072942,1,325.4211,0.01754386,1,0.003072942,1
"GO:0000472","endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",0.000118716,0.004036345,1,247.7489,0.02941176,0.004028448,1,3,0.009218826,1,108.4737,0.01754386,0.3333333,0.00919102,1
"GO:0044743","intracellular protein transmembrane import",0.002791415,0.09490811,2,21.07301,0.05882353,0.00411926,1,44,0.1352094,2,14.79187,0.03508772,0.04545455,0.008079698,1
"GO:0036414","histone citrullination",0.000132649,0.004510065,1,221.7263,0.02941176,0.004500207,1,4,0.01229177,2,162.7105,0.03508772,0.5,5.544698e-05,0.551614085275
"GO:0006536","glutamate metabolic process",0.003063643,0.1041639,2,19.20052,0.05882353,0.004933315,1,29,0.08911532,2,22.44283,0.03508772,0.06896552,0.003571327,1
"GO:0097241","hematopoietic stem cell migration to bone marrow",0.0001483706,0.005044599,1,198.2318,0.02941176,0.005032269,1,2,0.006145884,1,162.7105,0.01754386,0.5,0.006136606,1
"GO:2000532","regulation of renal albumin absorption",0.0001564507,0.005319323,1,187.9939,0.02941176,0.005305614,1,2,0.006145884,1,162.7105,0.01754386,0.5,0.006136606,1
"GO:2000669","negative regulation of dendritic cell apoptotic process",0.0001613291,0.005485191,1,182.3091,0.02941176,0.005470615,1,3,0.009218826,1,108.4737,0.01754386,0.3333333,0.00919102,1
"GO:0045048","protein insertion into ER membrane",0.0001743649,0.005928408,1,168.6793,0.02941176,0.005911384,1,5,0.01536471,1,65.08421,0.01754386,0.2,0.01527221,1
"GO:0050728","negative regulation of inflammatory response",0.0112087,0.3810959,3,7.872035,0.08823529,0.00650109,1,109,0.3349507,3,8.956543,0.05263158,0.02752294,0.004587111,1
"GO:0010934","macrophage cytokine production",0.0001974555,0.006713485,1,148.9539,0.02941176,0.006691659,1,2,0.006145884,1,162.7105,0.01754386,0.5,0.006136606,1
"GO:0065002","intracellular protein transmembrane transport",0.003625503,0.1232671,2,16.22493,0.05882353,0.00682696,1,56,0.1720847,2,11.62218,0.03508772,0.03571429,0.01284739,1
"GO:0046813","receptor-mediated virion attachment to host cell",0.000229959,0.007818606,1,127.9,0.02941176,0.007789012,1,5,0.01536471,1,65.08421,0.01754386,0.2,0.01527221,1
"GO:0006626","protein targeting to mitochondrion",0.003914743,0.1331013,2,15.02615,0.05882353,0.007911108,1,55,0.1690118,2,11.83349,0.03508772,0.03636364,0.01241282,1
"GO:0033159","negative regulation of protein import into nucleus, translocation",0.0002380713,0.008094423,1,123.5419,0.02941176,0.008062707,1,3,0.009218826,1,108.4737,0.01754386,0.3333333,0.00919102,1
"GO:0043314","negative regulation of neutrophil degranulation",0.0002445388,0.00831432,1,120.2744,0.02941176,0.00828086,1,2,0.006145884,1,162.7105,0.01754386,0.5,0.006136606,1
"GO:0071806","protein transmembrane transport",0.004044445,0.1375111,2,14.54428,0.05882353,0.00842086,1,63,0.1935953,2,10.33083,0.03508772,0.03174603,0.01607137,1
"GO:0050766","positive regulation of phagocytosis",0.004078109,0.1386557,2,14.42422,0.05882353,0.008555526,1,46,0.1413553,2,14.14874,0.03508772,0.04347826,0.008805233,1
"GO:0000480","endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",0.0002575292,0.008755993,1,114.2075,0.02941176,0.008718889,1,6,0.01843765,1,54.23684,0.01754386,0.1666667,0.01829903,1
"GO:0042167","heme catabolic process",0.0002583816,0.008784975,1,113.8307,0.02941176,0.008747625,1,8,0.02458354,1,40.67763,0.01754386,0.125,0.02432529,1
"GO:0002686","negative regulation of leukocyte migration",0.004163487,0.1415586,2,14.12843,0.05882353,0.008901413,1,35,0.107553,2,18.59549,0.03508772,0.05714286,0.005172444,1
"GO:1901315","negative regulation of histone H2A K63-linked ubiquitination",0.0002703137,0.009190667,1,108.806,0.02941176,0.009149793,1,3,0.009218826,1,108.4737,0.01754386,0.3333333,0.00919102,1
"GO:2001213","negative regulation of vasculogenesis",0.0002713489,0.009225863,1,108.3909,0.02941176,0.009184676,1,1,0.003072942,1,325.4211,0.01754386,1,0.003072942,1
"GO:0060313","negative regulation of blood vessel remodeling",0.0002715065,0.009231222,1,108.328,0.02941176,0.009189987,1,3,0.009218826,1,108.4737,0.01754386,0.3333333,0.00919102,1
"GO:0000966","RNA 5'-end processing",0.0002820918,0.00959112,1,104.2631,0.02941176,0.009546612,1,6,0.01843765,1,54.23684,0.01754386,0.1666667,0.01829903,1
"GO:1902564","negative regulation of neutrophil activation",0.0003019659,0.01026684,1,97.40093,0.02941176,0.01021585,1,4,0.01229177,1,81.35526,0.01754386,0.25,0.01223621,1
"GO:1900045","negative regulation of protein K63-linked ubiquitination",0.0003030983,0.01030534,1,97.03706,0.02941176,0.01025397,1,5,0.01536471,1,65.08421,0.01754386,0.2,0.01527221,1
"GO:0019062","virion attachment to host cell",0.0003042013,0.01034284,1,96.68522,0.02941176,0.0102911,1,9,0.02765648,1,36.15789,0.01754386,0.1111111,0.02732478,1
"GO:0009449","gamma-aminobutyric acid biosynthetic process",0.0003053549,0.01038207,1,96.31994,0.02941176,0.01032993,1,3,0.009218826,1,108.4737,0.01754386,0.3333333,0.00919102,1
"GO:0050704","regulation of interleukin-1 secretion",0.004551777,0.1547604,2,12.9232,0.05882353,0.01055212,1,43,0.1321365,3,22.70379,0.05263158,0.06976744,0.0003111606,1
"GO:1905246","negative regulation of aspartic-type peptidase activity",0.0003123642,0.01062038,1,94.15857,0.02941176,0.01056583,1,2,0.006145884,1,162.7105,0.01754386,0.5,0.006136606,1
