"ID","name","Binom_Genome_Fraction","Binom_Expected","Binom_Observed_Region_Hits","Binom_Fold_Enrichment","Binom_Region_Set_Coverage","Binom_Raw_PValue","Binom_Adjp_BH","Hyper_Total_Genes","Hyper_Expected","Hyper_Observed_Gene_Hits","Hyper_Fold_Enrichment","Hyper_Gene_Set_Coverage","Hyper_Term_Gene_Coverage","Hyper_Raw_PValue","Hyper_Adjp_BH"
"GO:0030692","Noc4p-Nop14p complex",3.302917e-05,0.001122992,1,890.4784,0.02941176,0.00112238,1,2,0.006145884,1,162.7105,0.01754386,0.5,0.006136606,1
"GO:0030689","Noc complex",4.61534e-05,0.001569216,1,637.261,0.02941176,0.001568021,1,3,0.009218826,1,108.4737,0.01754386,0.3333333,0.00919102,1
"GO:0032116","SMC loading complex",0.0002392109,0.008133172,1,122.9533,0.02941176,0.008101152,1,2,0.006145884,1,162.7105,0.01754386,0.5,0.006136606,1
"GO:0036128","CatSper complex",0.0003430011,0.01166204,1,85.7483,0.02941176,0.01159628,1,10,0.03072942,1,32.54211,0.01754386,0.1,0.0303152,1
"GO:0042721","mitochondrial inner membrane protein insertion complex",0.0003756134,0.01277085,1,78.3033,0.02941176,0.01269202,1,5,0.01536471,1,65.08421,0.01754386,0.2,0.01527221,1
"GO:0030688","preribosome, small subunit precursor",0.0006603605,0.02245226,1,44.53895,0.02941176,0.02220933,1,11,0.03380236,1,29.58373,0.01754386,0.09090909,0.0332966,1
"GO:0030868","smooth endoplasmic reticulum membrane",0.0007346391,0.02497773,1,40.03566,0.02941176,0.02467732,1,7,0.02151059,1,46.48872,0.01754386,0.1428571,0.02131672,1
"GO:0031463","Cul3-RING ubiquitin ligase complex",0.007803732,0.2653269,2,7.537871,0.05882353,0.02896154,1,70,0.2151059,2,9.297744,0.03508772,0.02857143,0.01960348,1
"GO:0016591","DNA-directed RNA polymerase II, holoenzyme",0.008844792,0.3007229,2,6.65064,0.05882353,0.03640049,1,108,0.3318777,3,9.039474,0.05263158,0.02777778,0.004470512,1
"GO:0032039","integrator complex",0.001204489,0.04095262,1,24.41846,0.02941176,0.04014908,1,15,0.04609413,1,21.69474,0.01754386,0.06666667,0.04513237,1
"GO:0097381","photoreceptor disc membrane",0.001277275,0.04342734,1,23.02697,0.02941176,0.04252446,1,23,0.07067766,1,14.14874,0.01754386,0.04347826,0.0683784,1
"GO:0031235","intrinsic component of the cytoplasmic side of the plasma membrane",0.001373684,0.04670526,1,21.41086,0.02941176,0.045662,1,15,0.04609413,1,21.69474,0.01754386,0.06666667,0.04513237,1
"GO:0005922","connexin complex",0.001400537,0.04761824,1,21.00036,0.02941176,0.0465341,1,21,0.06453178,1,15.49624,0.01754386,0.04761905,0.06261956,1
"GO:0005814","centriole",0.01016937,0.3457584,2,5.784386,0.05882353,0.04680392,1,122,0.3748989,2,5.334771,0.03508772,0.01639344,0.05416708,1
"GO:0005665","DNA-directed RNA polymerase II, core complex",0.001493948,0.05079422,1,19.68728,0.02941176,0.04956186,1,19,0.0583859,2,34.25485,0.03508772,0.1052632,0.001534106,1
"GO:0055029","nuclear DNA-directed RNA polymerase complex",0.01064123,0.3618018,2,5.527888,0.05882353,0.05074559,1,134,0.4117742,3,7.285546,0.05263158,0.02238806,0.008117167,1
"GO:0000428","DNA-directed RNA polymerase complex",0.0106579,0.3623687,2,5.51924,0.05882353,0.05088701,1,135,0.4148472,3,7.231579,0.05263158,0.02222222,0.008283779,1
"GO:0030880","RNA polymerase complex",0.01075695,0.3657363,2,5.468422,0.05882353,0.05173016,1,137,0.420993,3,7.126008,0.05263158,0.02189781,0.008623036,1
"GO:0032040","small-subunit processome",0.00158998,0.05405931,1,18.4982,0.02941176,0.05266484,1,33,0.1014071,1,9.861244,0.01754386,0.03030303,0.09665529,1
"GO:0044432","endoplasmic reticulum part",0.1061393,3.608737,7,1.939737,0.2058824,0.06284618,1,1275,3.918001,7,1.786625,0.122807,0.005490196,0.09451024,1
"GO:0030686","90S preribosome",0.001929797,0.06561309,1,15.24086,0.02941176,0.06356623,1,31,0.0952612,1,10.49745,0.01754386,0.03225806,0.09106821,1
"GO:0005783","endoplasmic reticulum",0.1527507,5.193524,9,1.732927,0.2647059,0.06457151,1,1769,5.436034,9,1.655619,0.1578947,0.00508762,0.0893099,1
"GO:0035327","transcriptionally active chromatin",0.002084185,0.07086229,1,14.11188,0.02941176,0.06847871,1,23,0.07067766,1,14.14874,0.01754386,0.04347826,0.0683784,1
"GO:0005921","gap junction",0.002187754,0.07438362,1,13.44382,0.02941176,0.07176014,1,32,0.09833414,1,10.16941,0.01754386,0.03125,0.09386598,1
"GO:0044450","microtubule organizing center part",0.01398306,0.475424,2,4.206771,0.05882353,0.08173994,1,164,0.5039625,2,3.968549,0.03508772,0.01219512,0.09049559,1
"GO:0032809","neuronal cell body membrane",0.003218843,0.1094407,1,9.13737,0.02941176,0.1038229,1,21,0.06453178,1,15.49624,0.01754386,0.04761905,0.06261956,1
"GO:0031461","cullin-RING ubiquitin ligase complex",0.01616246,0.5495235,2,3.639517,0.05882353,0.1043953,1,176,0.5408378,2,3.697967,0.03508772,0.01136364,0.1019088,1
"GO:0016235","aggresome",0.003582285,0.1217977,1,8.210336,0.02941176,0.1148661,1,39,0.1198447,1,8.34413,0.01754386,0.02564103,0.1132149,1
"GO:0005790","smooth endoplasmic reticulum",0.003618254,0.1230206,1,8.128718,0.02941176,0.1159518,1,32,0.09833414,1,10.16941,0.01754386,0.03125,0.09386598,1
"GO:0043025","neuronal cell body",0.05555692,1.888935,4,2.117595,0.1176471,0.1179028,1,436,1.339803,4,2.985514,0.07017544,0.009174312,0.04483071,1
"GO:0030684","preribosome",0.004066377,0.1382568,1,7.232917,0.02941176,0.1293704,1,74,0.2273977,1,4.397582,0.01754386,0.01351351,0.2040332,1
"GO:0005789","endoplasmic reticulum membrane",0.08070825,2.74408,5,1.822104,0.1470588,0.1354658,1,1006,3.09138,5,1.617401,0.0877193,0.004970179,0.1955692,1
"GO:0030141","secretory granule",0.05963419,2.027562,4,1.972812,0.1176471,0.1422725,1,822,2.525958,4,1.583557,0.07017544,0.00486618,0.2454349,1
"GO:0042175","nuclear outer membrane-endoplasmic reticulum membrane network",0.08365404,2.844238,5,1.75794,0.1470588,0.1510114,1,1027,3.155911,5,1.584328,0.0877193,0.004868549,0.2069869,1
"GO:0005829","cytosol",0.3707405,12.60518,16,1.26932,0.4705882,0.1520948,1,4900,15.05742,18,1.195424,0.3157895,0.003673469,0.2279641,1
"GO:0000785","chromatin",0.04049757,1.376917,3,2.17878,0.08823529,0.1577935,1,481,1.478085,3,2.029653,0.05263158,0.006237006,0.1837227,1
"GO:0044297","cell body",0.06234093,2.119592,4,1.887156,0.1176471,0.1595147,1,500,1.536471,4,2.603368,0.07017544,0.008,0.06739553,1
"GO:0005891","voltage-gated calcium channel complex",0.005209067,0.1771083,1,5.646263,0.02941176,0.1626986,1,42,0.1290636,1,7.74812,0.01754386,0.02380952,0.1213824,1
"GO:0005813","centrosome",0.04194206,1.42603,3,2.103743,0.08823529,0.1697415,1,510,1.5672,3,1.914241,0.05263158,0.005882353,0.2064402,1
"GO:1990234","transferase complex",0.06436056,2.188259,4,1.827937,0.1176471,0.1728852,1,760,2.335436,5,2.140928,0.0877193,0.006578947,0.08343098,1
"GO:0035578","azurophil granule lumen",0.005762486,0.1959245,1,5.104006,0.02941176,0.1783915,1,90,0.2765648,1,3.615789,0.01754386,0.01111111,0.2424443,1
