"ID","name","Binom_Genome_Fraction","Binom_Expected","Binom_Observed_Region_Hits","Binom_Fold_Enrichment","Binom_Region_Set_Coverage","Binom_Raw_PValue","Binom_Adjp_BH","Hyper_Total_Genes","Hyper_Expected","Hyper_Observed_Gene_Hits","Hyper_Fold_Enrichment","Hyper_Gene_Set_Coverage","Hyper_Term_Gene_Coverage","Hyper_Raw_PValue","Hyper_Adjp_BH"
"GO:0030409","glutamate formimidoyltransferase activity",2.948364e-05,0.001002444,1,997.5621,0.02941176,0.001001956,1,1,0.003072942,1,325.4211,0.01754386,1,0.003072942,0.926053021285714
"GO:0030412","formimidoyltetrahydrofolate cyclodeaminase activity",2.948364e-05,0.001002444,1,997.5621,0.02941176,0.001001956,1,1,0.003072942,1,325.4211,0.01754386,1,0.003072942,0.926053021285714
"GO:0032090","Pyrin domain binding",3.041328e-05,0.001034051,1,967.07,0.02941176,0.001033533,1,2,0.006145884,1,162.7105,0.01754386,0.5,0.006136606,1
"GO:0004074","biliverdin reductase activity",8.1918e-05,0.002785212,1,359.0391,0.02941176,0.002781451,1,2,0.006145884,1,162.7105,0.01754386,0.5,0.006136606,1
"GO:0050254","rhodopsin kinase activity",9.929197e-05,0.003375927,1,296.2149,0.02941176,0.003370402,1,3,0.009218826,1,108.4737,0.01754386,0.3333333,0.00919102,1
"GO:0004668","protein-arginine deiminase activity",0.000132649,0.004510065,1,221.7263,0.02941176,0.004500207,1,4,0.01229177,2,162.7105,0.03508772,0.5,5.544698e-05,0.23393080862
"GO:0001055","RNA polymerase II activity",0.0001674832,0.00569443,1,175.6102,0.02941176,0.005678721,1,12,0.0368753,2,54.23684,0.03508772,0.1666667,0.0006003478,0.422144561366667
"GO:0016841","ammonia-lyase activity",0.0001852088,0.006297099,1,158.8033,0.02941176,0.006277893,1,5,0.01536471,1,65.08421,0.01754386,0.2,0.01527221,1
"GO:0004854","xanthine dehydrogenase activity",0.0002713489,0.009225863,1,108.3909,0.02941176,0.009184676,1,1,0.003072942,1,325.4211,0.01754386,1,0.003072942,0.926053021285714
"GO:0004855","xanthine oxidase activity",0.0002713489,0.009225863,1,108.3909,0.02941176,0.009184676,1,1,0.003072942,1,325.4211,0.01754386,1,0.003072942,0.926053021285714
"GO:0015267","channel activity",0.05425616,1.844709,6,3.252545,0.1764706,0.009227683,1,463,1.422772,7,4.919973,0.122807,0.01511879,0.0005190248,0.422144561366667
"GO:0022803","passive transmembrane transporter activity",0.05427912,1.84549,6,3.251169,0.1764706,0.009245966,1,464,1.425845,7,4.909369,0.122807,0.01508621,0.0005257285,0.422144561366667
"GO:0030943","mitochondrion targeting sequence binding",0.0002937981,0.009989136,1,100.1088,0.02941176,0.009940863,1,3,0.009218826,1,108.4737,0.01754386,0.3333333,0.00919102,1
"GO:0019828","aspartic-type endopeptidase inhibitor activity",0.0003080977,0.01047532,1,95.46247,0.02941176,0.01042224,1,4,0.01229177,1,81.35526,0.01754386,0.25,0.01223621,1
"GO:0036033","mediator complex binding",0.000325428,0.01106455,1,90.37873,0.02941176,0.01100534,1,4,0.01229177,1,81.35526,0.01754386,0.25,0.01223621,1
"GO:0016742","hydroxymethyl-, formyl- and related transferase activity",0.0003418555,0.01162309,1,86.03566,0.02941176,0.01155776,1,8,0.02458354,1,40.67763,0.01754386,0.125,0.02432529,1
"GO:0005245","voltage-gated calcium channel activity",0.00534971,0.1818901,2,10.99565,0.05882353,0.01433235,1,40,0.1229177,2,16.27105,0.03508772,0.05,0.006714409,1
"GO:0001602","pancreatic polypeptide receptor activity",0.000424542,0.01443443,1,69.2788,0.02941176,0.01433377,1,5,0.01536471,1,65.08421,0.01754386,0.2,0.01527221,1
"GO:0015501","glutamate:sodium symporter activity",0.0004549193,0.01546726,1,64.65271,0.02941176,0.01535172,1,3,0.009218826,1,108.4737,0.01754386,0.3333333,0.00919102,1
"GO:0005262","calcium channel activity",0.01553799,0.5282918,3,5.67868,0.08823529,0.01567766,1,112,0.3441695,4,11.62218,0.07017544,0.03571429,0.0003888396,0.422144561366667
"GO:0004703","G-protein coupled receptor kinase activity",0.0004716086,0.01603469,1,62.36477,0.02941176,0.01591054,1,7,0.02151059,1,46.48872,0.01754386,0.1428571,0.02131672,1
"GO:0016813","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines",0.0004948365,0.01682444,1,59.43734,0.02941176,0.01668779,1,10,0.03072942,2,65.08421,0.03508772,0.2,0.0004109485,0.422144561366667
"GO:0008453","alanine-glyoxylate transaminase activity",0.0005247766,0.0178424,1,56.04626,0.02941176,0.01768877,1,4,0.01229177,1,81.35526,0.01754386,0.25,0.01223621,1
"GO:0019838","growth factor binding",0.01627056,0.553199,3,5.423003,0.08823529,0.01770139,1,130,0.3994825,3,7.509717,0.05263158,0.02307692,0.007470704,1
"GO:0016840","carbon-nitrogen lyase activity",0.0005441695,0.01850176,1,54.0489,0.02941176,0.0183366,1,9,0.02765648,1,36.15789,0.01754386,0.1111111,0.02732478,1
"GO:0019784","NEDD8-specific protease activity",0.0005485105,0.01864936,1,53.62115,0.02941176,0.01848155,1,7,0.02151059,1,46.48872,0.01754386,0.1428571,0.02131672,1
"GO:0005314","high-affinity glutamate transmembrane transporter activity",0.0005784803,0.01966833,1,50.84316,0.02941176,0.01948175,1,7,0.02151059,1,46.48872,0.01754386,0.1428571,0.02131672,1
"GO:0005542","folic acid binding",0.0006303795,0.0214329,1,46.65723,0.02941176,0.02121147,1,11,0.03380236,1,29.58373,0.01754386,0.09090909,0.0332966,1
"GO:0015266","protein channel activity",0.0006391121,0.02172981,1,46.01972,0.02941176,0.02150222,1,12,0.0368753,1,27.11842,0.01754386,0.08333333,0.03626898,1
"GO:0015085","calcium ion transmembrane transporter activity",0.01777246,0.6042636,3,4.96472,0.08823529,0.0222895,1,133,0.4087013,4,9.787099,0.07017544,0.03007519,0.0007435484,0.4481472428
"GO:0019966","interleukin-1 binding",0.0006727092,0.02287211,1,43.72136,0.02941176,0.02262005,1,9,0.02765648,1,36.15789,0.01754386,0.1111111,0.02732478,1
"GO:0070087","chromo shadow domain binding",0.0007930088,0.0269623,1,37.08883,0.02941176,0.02661247,1,6,0.01843765,1,54.23684,0.01754386,0.1666667,0.01829903,1
"GO:0048403","brain-derived neurotrophic factor binding",0.0008073342,0.02744936,1,36.43072,0.02941176,0.02708684,1,3,0.009218826,1,108.4737,0.01754386,0.3333333,0.00919102,1
"GO:0089720","caspase binding",0.0008191143,0.02784989,1,35.90679,0.02941176,0.02747675,1,11,0.03380236,1,29.58373,0.01754386,0.09090909,0.0332966,1
"GO:0019842","vitamin binding",0.007588312,0.2580026,2,7.751859,0.05882353,0.02750886,1,80,0.2458354,2,8.135526,0.03508772,0.025,0.02515598,1
"GO:0016725","oxidoreductase activity, acting on CH or CH2 groups",0.0008441343,0.02870057,1,34.84252,0.02941176,0.02830439,1,9,0.02765648,1,36.15789,0.01754386,0.1111111,0.02732478,1
