"logFC","AveExpr","t","P.Value","adj.P.Val","B","CpG","gene","deltaBeta","gene_label"
-2.46242227912278,1.57974723352808,-4.76930667613321,0.000108263212675373,0.976777769925799,-3.5658459688263,"cg00256329","NXN",-0.331104617345857,"NXN"
-2.0686452383646,0.110248228080187,-4.00696292066855,0.0006578781262548,0.976777769925799,-3.76191508548224,"cg20454002","HLX",-0.310221489710954,"HLX"
-2.16673996232755,1.39005622423683,-3.75713497284,0.00118834285490024,0.976777769925799,-3.83201112421148,"cg13425888","NLRP2",-0.299742696919628,"NLRP2"
-2.01033358927376,1.76587650812125,-2.96670035189181,0.00745577781136635,0.976777769925799,-4.06805021965343,"cg27518014","LOC100287834",-0.285715994908841,"LOC100287834"
-2.10908361186463,2.21385394263774,-3.4971967893387,0.00219056087062395,0.976777769925799,-3.90757806610157,"cg05176970","NXN",-0.277394425934082,"NXN"
-2.36351618879434,1.94635640970203,-2.52571327050422,0.0198133161115474,0.976777769925799,-4.20407760662286,"cg13830619","",-0.266230817317121,NA
-2.1094828952563,0.436997217957164,-2.19232170064814,0.0399763226826674,0.976777769925799,-4.30517831669719,"cg06394109","",-0.248885017222959,NA
-1.97867251464738,-0.969729496551151,-3.05904722741928,0.00604291933306217,0.976777769925799,-4.03968811891595,"cg18805164","SNX26",-0.243853569580518,"SNX26"
-1.65767941890959,-0.0983369981625753,-3.10956071638028,0.005383376860358,0.976777769925799,-4.0242300637195,"cg21017569","KCNAB3",-0.23914748768344,"KCNAB3"
-1.97165895125884,1.25895164664149,-2.38496879249829,0.0267674390177645,0.976777769925799,-4.24712794919629,"cg08564027","",-0.234889941899841,NA
