"seqnames","start","end","width","strand","no.cpgs","min_smoothed_fdr","Stouffer","HMFDR","Fisher","maxdiff","meandiff","mean_deltaBeta"
"chr4",2964211,2964223,13,"*",2,0.025638417431921,0.997184278791855,0.974863126335267,0.998746931081181,-0.0875834565067572,-0.0532376670327819,-0.0532376670327819
"chr5",132759700,132759792,93,"*",2,0.0362257343341863,0.997184278791855,0.974863126335267,0.998746931081181,-0.0592543893994191,-0.0334138970058703,-0.0334138970058703
"chr5",177753258,177753286,29,"*",2,0.00655391084789677,0.997184278791855,0.974863126335267,0.998746931081181,-0.202943610534486,-0.193296015093118,-0.193296015093118
"chr7",102313389,102313412,24,"*",2,0.0188087529655312,0.997184278791855,0.974863126335267,0.998746931081181,0.0908741565067399,0.0646984363086869,0.0646984363086869
"chr17",724273,724374,102,"*",2,0.000172731311299097,0.997184278791855,0.974863126335267,0.998746931081181,-0.331104617345857,-0.30424952163997,-0.30424952163997
"chr18",30349900,30350221,322,"*",2,0.0315710240896953,0.997184278791855,0.974863126335267,0.998746931081181,0.0589743059213506,0.0398975628989882,0.0398975628989882
"chr20",61659980,61660250,271,"*",2,0.00292456851041235,0.997184278791855,0.974863126335267,0.998746931081181,-0.20983916920303,-0.164531851152132,-0.164531851152132
"chr7",100286908,100287136,229,"*",2,0.0320572988564326,0.997970385765787,0.978619124776312,0.999092881958387,-0.132422464936168,-0.0606115455635519,-0.0606115455635519
"chr1",3807168,3807312,145,"*",2,0.0447257908049038,0.999194223583556,0.984257425243725,0.999509805040533,-0.144770704023735,-0.0748762395197485,-0.0748762395197486
"chr4",27102875,27102927,53,"*",3,0.00257303736584131,0.999651441078623,0.974863126335267,0.999929876021131,0.146003018205287,0.110252705424179,0.110252705424179
"chr5",36662804,36662950,147,"*",3,0.0350564085713329,0.999651441078623,0.974863126335267,0.999929876021131,0.227406100188008,0.11092973528072,0.11092973528072
"chr7",43797898,43798081,184,"*",3,0.0423503782232867,0.999651441078623,0.974863126335267,0.999929876021131,-0.0351333081726556,-0.00161950477344311,-0.00161950477344311
"chr11",63839479,63839528,50,"*",3,0.00878338116614619,0.999651441078623,0.974863126335267,0.999929876021131,0.115118251458591,0.0850322573186073,0.0850322573186073
"chr13",114797047,114797383,337,"*",3,0.0454632542064379,0.999651441078623,0.974863126335267,0.999929876021131,-0.129631695430063,-0.0829073322095601,-0.0829073322095601
"chr17",934534,935017,484,"*",3,0.0204069697616621,0.999651441078623,0.974863126335267,0.999929876021131,-0.152085742560135,-0.102365469295605,-0.102365469295605
"chr19",55476665,55476717,53,"*",3,0.0413887372721845,0.999651441078623,0.974863126335267,0.999929876021131,-0.299742696919628,-0.193755536716674,-0.193755536716674
"chr21",47581405,47582049,645,"*",3,0.00878338116614619,0.999651441078623,0.974863126335267,0.999929876021131,-0.201807958023162,-0.176798118788673,-0.176798118788673
"chr21",40758208,40758346,139,"*",3,0.0207296291084998,0.999842602713753,0.979845277982975,0.999963853485794,0.1474151899494,0.0932581547820081,0.0932581547820081
"chr2",31806755,31806898,144,"*",4,0.0454632542064379,0.999954845616018,0.974863126335267,0.999995869338261,0.14962356099586,0.112491798831224,0.112491798831224
"chr4",5021111,5021268,158,"*",4,0.00315647927419629,0.999954845616018,0.974863126335267,0.999995869338261,-0.132630011527517,-0.0743180506815788,-0.0805278961695528
"chr16",4421603,4422228,626,"*",4,0.000209446848032137,0.999954845616018,0.974863126335267,0.999995869338261,-0.155894803922109,-0.093647030925047,-0.101072738559008
"chr16",54966471,54967389,919,"*",4,0.000209446848032137,0.999954845616018,0.974863126335267,0.999995869338261,-0.153754805340786,-0.126629697106796,-0.126629697106796
"chr12",62585204,62585877,674,"*",4,0.000408269563776024,0.999996071616053,0.980766235939767,0.999998589795767,-0.0532904270513285,-0.0108610524136713,-0.0108610524136713
"chr1",221054201,221054707,507,"*",5,0.00223322873037612,0.999993994497367,0.974863126335267,0.999999749498983,-0.310221489710955,-0.19393059492969,-0.19393059492969
"chr6",90660913,90661373,461,"*",5,6.40509370340471e-06,0.999993994497367,0.974863126335267,0.999999749498983,0.262800372680356,0.18881970528747,0.18881970528747
"chr16",72821141,72821665,525,"*",5,0.0179410536248319,0.999993994497367,0.974863126335267,0.999999749498983,-0.176014569074043,-0.11125693273133,-0.11125693273133
"chr19",1271019,1271371,353,"*",5,0.010342199937962,0.999993994497367,0.974863126335267,0.999999749498983,-0.215980178698611,-0.127049306477568,-0.126124793237023
"chr21",47604052,47604986,935,"*",5,0.00378342674057334,0.999993994497367,0.974863126335267,0.999999749498983,0.231663233099313,0.147836461257421,0.147836461257421
"chr1",17475656,17476212,557,"*",5,1.01046513146511e-06,0.999994148047872,0.975009409471658,0.999999756644898,-0.17128543656703,-0.100300493083863,-0.100300493083863
"chr5",134366534,134367394,861,"*",6,0.00288638903035785,0.999999187389474,0.974863126335267,0.999999984520455,-0.194965172610316,-0.115206666257496,-0.115206666257496
"chr1",35441734,35442839,1106,"*",6,0.00257303736584131,0.999999526298653,0.976830416200673,0.999999990490457,0.133543033268227,0.0672685052757928,0.0672685052757929
"chr5",110062384,110062837,454,"*",6,0.0133704704813703,0.999999589384315,0.977182163666873,0.999999991326966,-0.160979721667577,-0.0889486064213951,-0.0889486064213952
"chr17",7832479,7833237,759,"*",8,0.00217504980904742,0.999999989564827,0.976017876528003,0.999999999957849,-0.23914748768344,-0.121959851146123,-0.114144629492792
"chr10",47083283,47083632,350,"*",8,0.00415977091519145,0.999999992829276,0.97674712127903,0.999999999967091,-0.0926175531216794,-0.0494345023234027,-0.0494345023234028
